1.23389019817537E+018,Mult Co Fire/EMS log,2020-02-29 15:02:02-08:00,12,"MED - MEDICAL at 3800 NE 142ND AVE, PORT [Portland Fire #RP20000018260] 13:42 #pdx911",45.551148,-122.516334,Unknown,MED,N/A,N/A,2020,2,29,15,2
1.23389070113951E+018,Portland Police log,2020-02-29 15:04:02-08:00,19,"HAZARD - HAZARDOUS CONDITION at NE 162ND AVE / E BURNSIDE ST, GRSM [Portland Police #PP20000070403] 13:49 #pdx911",45.52226,-122.496457,Unknown,HAZARD,N/A,N/A,2020,2,29,15,4
1.23389170823806E+018,Portland Police log,2020-02-29 15:08:02-08:00,15:04,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 2000 SW VERMONT ST, PORT [Portland Police #PP20000070464] 15:04 #pdx911",45.475219,-122.698305,Unknown,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",N/A,N/A,2020,2,29,15,8
1.2338917099242E+018,Mult Co Fire/EMS log,2020-02-29 15:08:02-08:00,15:02,"MED - MEDICAL at 600 NW IRVING ST, PORT [Portland Fire #RP20000018280] 15:02 #pdx911",45.527947,-122.677184,Unknown,MED,N/A,N/A,2020,2,29,15,8
1.23389171081756E+018,Portland Police log,2020-02-29 15:08:03-08:00,14:52,"HAZARD - HAZARDOUS CONDITION at NE 11TH AVE / NE LOMBARD ST, PORT [Portland Police #PP20000070451] 14:52 #pdx911",45.576965,-122.653534,Unknown,HAZARD,N/A,N/A,2020,2,29,15,8
1.23389220941128E+018,Mult Co Fire/EMS log,2020-02-29 15:10:01-08:00,14:25,"MED - MEDICAL at 2200 SW 6TH AVE, PORT [Portland Fire #RP20000018268] 14:25 #pdx911",45.506882,-122.684649,Unknown,MED,N/A,N/A,2020,2,29,15,10
1.23389221028787E+018,Mult Co Fire/EMS log,2020-02-29 15:10:02-08:00,13:38,"MED - MEDICAL at 12400 NE SAN RAFAEL ST, PORT [Portland Fire #RP20000018259] 13:38 #pdx911",45.539087,-122.533638,Unknown,MED,N/A,N/A,2020,2,29,15,10
1.23389221185234E+018,Portland Police log,2020-02-29 15:10:02-08:00,13:10,"ACCIDENT - UNKNOWN INJURY at 12400 NE SAN RAFAEL ST, PORT [Portland Police #PP20000070362] 13:10 #pdx911",45.539087,-122.533638,Unknown,ACCIDENT,N/A,N/A,2020,2,29,15,10
1.23389271484586E+018,Mult Co Fire/EMS log,2020-02-29 15:12:02-08:00,14:00,"MED - MEDICAL at 12600 NE KNOTT ST, PORT [Portland Fire #RP20000018264] 14:00 #pdx911",45.542246,-122.532502,Unknown,MED,MEDICAL,N/A,2020,2,29,15,12
1.23389322016724E+018,Portland Police log,2020-02-29 15:14:02-08:00,14:57,"UNWANTED PERSON at 1600 SE DIVISION ST, PORT [Portland Police #PP20000070449] 14:57 #pdx911",45.504636,-122.649367,Unknown,UNWANTED PERSON,N/A,N/A,2020,2,29,15,14
